Aff,Neg,Judges,Votes,Result
BergenTech SG,Potomac GU,"Matthew Cupich																																		Christian Mendoza																																		Kwudjwa Osei","Aff																												Neg																												Neg","2-1																															NEG"
Centennial Independent BN,,,,
Mountain Ridge SS,,,,
South Forsyth GG,,,,
Trinity HB,,,,
Ivy Bridge YT,,,,
Potomac CV,,,,
Fairmont Prep MS,,,,
VDA - Vancouver HL,,,,
Trinity NC,,,,
Sharon HX,,,,
Centennial Independent AC,,,,
Richard Montgomery LL,,,,
BergenTech KN,,,,
Ridgewood Independent RH,,,,
DebateDrills MR,,,,
