Aff,Neg,Judges,Votes,Result
Westwood BM,Leland XH,"Aric Floyd																																		Tristan Bato																																		Te-Chun Yuan","Neg																												Aff																												Aff","2-1																															AFF"
Delbarton CE,Poolesville HL,"Sarah Lazzaro																																		Suzanne Vitela																																		Laura Soto","Neg																												Neg																												Aff","2-1																															NEG"
Leland MT,Lynbrook PR,"Donald Broussard																																		eddie diaz																																		Nicoleta Enciu","Aff																												Aff																												Neg","2-1																															AFF"
St John's LF,Illinois Independent Entry VS,"jian liu																																		Collin Connor																																		Geetika Goel","Aff																												Neg																												Neg","2-1																															NEG"
Uni Irvine RG,,,,
St Francis BC,,,,
Flintridge Prep SN,,,,
Duchesne Academy Of The Sacred Heart BB,,,,
Archbishop Mitty KB,,,,
Lynbrook RG,,,,
Brookfield East CS,,,,
St Mary's Hall CT,,,,
Southlake Carroll SR,,,,
Centennial RC,,,,
Quarry Lane PS,,,,
BASIS Chandler CV,,,,
Canyon Crest GG,,,,
La Salle  NW,,,,
Harker LK,,,,
Flintridge Prep KG,,,,
Campbell Hall TG,,,,
Mission San Jose DK,,,,
Loyola AV,,,,
Southlake Carroll SP,,,,
El Camino Real Charter DL,,,,
Ridgewood Independent PW,,,,
Montgomery HS Independent ZX,,,,
Potomac LP,,,,
Centennial LY,,,,
College Prep HP,,,,
Nueva DG,,,,
College Prep BB,,,,
