Aff,Neg,Judges,Votes,Result
Harker WX,St Francis MP,"Bingjun Dai																																		Linping Yu																																		Dakota Hiltzman","Aff																												Aff																												Aff","3-0																															AFF"
Newton North TM,Archbishop Mitty BK,"Rana Fiaz																																		Rebecca Schulz																																		Wei Zhu","Neg																												Neg																												Neg","3-0																															NEG"
Bethesda Chevy Chase RS,Quarry Lane NG,"Kyle Hietala																																		Apollo Wang																																		Andrew Dunn","Neg																												Neg																												Neg","3-0																															NEG"
Parker LK,Winston Churchill HM,"John Hong																																		Vikas Bhatia																																		Nicholas Morgan","Neg																												Neg																												Neg","3-0																															NEG"
Palo Alto KG,Lynbrook JJ,"Chonglei Huang																																		Shirley Shan																																		Eli Qian","Aff																												Neg																												Aff","2-1																															AFF"
Flintridge Prep CY,Leland VL,"Tiffany Gee Ching Lo																																		Pranav Dave																																		Nikhil Shanbhag","Aff																												Neg																												Aff","2-1																															AFF"
St Francis CB,Potomac MP,"Hardik Naik																																		Wesley Loofbourrow																																		Pragati Shrivastava","Aff																												Aff																												Aff","3-0																															AFF"
Mission San Jose VP,Fremont BK,"Sonya Patel																																		Niyati Jani																																		Elizabeth Vaughn","Aff																												Aff																												Neg","2-1																															AFF"
Gunn JC,BASIS Chandler VC,"Emily Xu																																		Phani Uppalapati																																		Wade Chien","Aff																												Aff																												Aff","3-0																															AFF"
Leland XH,Centennial TJ,"david wong																																		Nira Hadar																																		Don Pogreba","Aff																												Neg																												Aff","2-1																															AFF"
Mission San Jose ZK,,,,
El Camino Real Charter LD,,,,
Flintridge Prep VZ,,,,
Potomac GU,,,,
Lynbrook CP,,,,
Palo Alto SB,Palo Alto TS,,Palo Alto SB advances,Palo Alto SB advances
