Aff,Neg,Judges,Votes,Result
Norman North SG,Western KP,"Spencer Orlowski																																		Avani Nooka																																		Zayne El-Kaissi","Aff																												Aff																												Neg","2-1																															AFF"
American Heritage Broward AW,Quarry Lane GN,"Thomas Vance																																		Madeleine Houck																																		Ariel Arias","Aff																												Neg																												Neg","2-1																															NEG"
Lake Highland Prep HK,Blake GZ,"Sydney Vance																																		Nathaniel Yoon																																		Sarah Sherwood","Neg																												Aff																												Neg","2-1																															NEG"
Ransom Everglades RT,,,,
Durham HH,,,,
Milton DH,,,,
Taipei American CH,,,,
Marist LE,,,,
Bethesda Chevy Chase RS,,,,
Thomas Jefferson HSST ZL,,,,
North Broward Prep MS,,,,
Lexington FS,,,,
Hawken VV,,,,
Ransom Everglades GR,,,,
Flintridge Prep ZV,,,,
Eden Prairie PA,,,,
Ransom Everglades GM,,,,
Dalton YS,,,,
Lake Highland Prep AN,,,,
Brentwood HM,,,,
Summit NR,,,,
Brentwood GS,,,,
Westwood RD,,,,
Chantilly KN,,,,
St Thomas Aquinas AC,,,,
Taipei American YC,,,,
Durham PH,,,,
Potomac AS,,,,
College Prep HP,,,,
American Heritage Broward RS,,,,
Lambert MB,,,,
American Heritage Broward BF,,,,
