Aff,Neg,Judges,Votes,Result
Ransom Everglades RT,Blake GZ,"Charles Huang																																		Susan Orlowski																																		Jacob Kaminski","Aff																												Aff																												Aff","3-0																															AFF"
Quarry Lane GN,Flintridge Prep ZV,"George Stockburger																																		Mac Hays																																		Maggie Mills","Aff																												Neg																												Neg","2-1																															NEG"
Norman North SG,Taipei American YC,"Serena Healy																																		Charles Karcher																																		Hugh Thompson","Aff																												Aff																												Neg","2-1																															AFF"
St Thomas Aquinas AC,Durham PH,"Deepti Kalsi																																		Kenan Radwan																																		Sharan Sawlani","Neg																												Aff																												Neg","2-1																															NEG"
Potomac AS,Chantilly KN,"Tejesh Cheepuru																																		Tyler Katz																																		Ayanava Ganguly","Neg																												Neg																												Aff","2-1																															NEG"
College Prep HP,Westwood RD,"Jack Merkel																																		Zayne El-Kaissi																																		Emily Carter","Aff																												Aff																												Aff","3-0																															AFF"
American Heritage Broward RS,Brentwood GS,"Ian Miller																																		Cayman Giordano																																		Chloe Ricks","Aff																												Aff																												Aff","3-0																															AFF"
Lambert MB,Summit NR,"Joy Taw																																		Spencer Grosso																																		Andrew Jones","Neg																												Aff																												Aff","2-1																															AFF"
American Heritage Broward BF,Brentwood HM,"Luke Bagdon																																		Faizaan Dossani																																		Hannah Stafford","Aff																												Neg																												Neg","2-1																															NEG"
Lake Highland Prep AN,Durham HH,"Camila Jaramillo																																		Nathaniel Yoon																																		Rudolph Reid","Aff																												Neg																												Aff","2-1																															AFF"
Milton DH,Dalton YS,"Max Shenkman																																		Sabrina Callahan																																		Ariel Arias","Aff																												Aff																												Aff","3-0																															AFF"
Ransom Everglades GM,Taipei American CH,"Will Sjostrom																																		Brendon Morris																																		Amanda Taylor","Aff																												Aff																												Aff","3-0																															AFF"
Marist LE,Eden Prairie PA,"Sarah Sherwood																																		Spencer Orlowski																																		Daniel Gutkin","Aff																												Neg																												Aff","2-1																															AFF"
Ransom Everglades GR,Bethesda Chevy Chase RS,"Darby FitzSimmons																																		Nilesh Chander																																		Drew Peterson","Aff																												Aff																												Aff","3-0																															AFF"
Hawken VV,Thomas Jefferson HSST ZL,"Matthew Brandstetter																																		Akshay Nathan																																		Avani Nooka","Neg																												Aff																												Neg","2-1																															NEG"
Lexington FS,North Broward Prep MS,"Austin Wang																																		Akira Kawamura																																		Darren Chang","Neg																												Aff																												Neg","2-1																															NEG"
