Aff,Neg,Judges,Votes,Result
Potomac LP,Leland MT,"Samuel Georgecink																																		Teresa Hu																																		Yeshwant Mahambare","Aff																												Aff																												Neg","2-1																															AFF"
Brookfield East CS,Poolesville HL,"Rohit Ghoshal																																		Avnika Dubey																																		Qiang Xie","Aff																												Aff																												Aff","3-0																															AFF"
Campbell Hall TG,Westwood BM,"Sameer Jani																																		Collin Connor																																		Andrew Dunn","Neg																												Aff																												Aff","2-1																															AFF"
Illinois Independent Entry VS,Mission San Jose DK,"Wenhan Zhu																																		Sky Juinio																																		Yiji Lin","Neg																												Neg																												Neg","3-0																															NEG"
Loyola AV,Flintridge Prep KG,"Miles Morton																																		Hadley Adkison																																		Irene Madejski","Aff																												Neg																												Neg","2-1																															NEG"
Harker LK,Southlake Carroll SP,"Donald Steiner																																		Max Hendrix																																		Saumya Jhaveri","Aff																												Neg																												Neg","2-1																															NEG"
El Camino Real Charter DL,La Salle  NW,"jian liu																																		Destiny Al-Jararheh																																		Corin Wallace","Aff																												Neg																												Aff","2-1																															AFF"
Ridgewood Independent PW,Canyon Crest GG,"Courtney Schauer																																		Jamie Ma																																		Erik Miller","Neg																												Neg																												Aff","2-1																															NEG"
BASIS Chandler CV,Montgomery HS Independent ZX,"Eli Glickman																																		Marshall Feuer																																		Julian Morales-Silva","Aff																												Aff																												Aff","3-0																															AFF"
Centennial LY,Quarry Lane PS,"Anais Nam																																		Rhyen Hunt																																		Jared Koch","Neg																												Neg																												Neg","3-0																															NEG"
College Prep HP,Centennial RC,"Lori Donnelly																																		Aric Floyd																																		Cindy Gutierrez","Neg																												Aff																												Aff","2-1																															AFF"
Nueva DG,Southlake Carroll SR,"Jicheng Liu																																		Steve Kim																																		Sarah Lazzaro","Neg																												Neg																												Neg","3-0																															NEG"
St Mary's Hall CT,College Prep BB,"Shakun Agarwal																																		Shabbir Bohri																																		Vishnu Vennelakanti","Aff																												Neg																												Neg","2-1																															NEG"
Lynbrook RG,Uni Irvine RG,"Ranjani Srikrishnaswamy																																		Jack Hayes																																		Parag Hegday","Aff																												Aff																												Aff","3-0																															AFF"
St Francis BC,Archbishop Mitty KB,"Geetika Goel																																		Nicoleta Enciu																																		Wesley Loofbourrow","Aff																												Aff																												Neg","2-1																															AFF"
Flintridge Prep SN,Duchesne Academy Of The Sacred Heart BB,"Marc Yoon																																		Tristan Bato																																		Madison Cahill","Neg																												Neg																												Neg","3-0																															NEG"
