Aff,Neg,Judges,Votes,Result
Milpitas CC,Dublin CS,"Maya Davis																																		Apollo Wang																																		Charlie Synn","Neg																												Aff																												Neg","2-1																															NEG"
Astor Redhead LC,Flintridge Prep YC,"Phani Uppalapati																																		Tanya Edquist																																		Charles Schletzbaum","Aff																												Neg																												Neg","2-1																															NEG"
Ridgewood RH,Cupertino YH,"Tina Patel																																		Julian de Leon																																		Zain Shields","Neg																												Aff																												Aff","2-1																															AFF"
Rancho Bernardo DN,Mission San Jose GB,"Maya Davis																																		Apollo Wang																																		Charlie Synn","Neg																												Neg																												Neg","3-0																															NEG"
Dublin QS,BergenTech NK,"Apryl West																																		Hannah Du																																		Anna Mellissinos","Aff																												Neg																												Aff","2-1																															AFF"
Del Norte BS,Delbarton CE,"Priya Ramanan																																		Adhar Walia																																		Mariel Cruz","Neg																												Aff																												Neg","2-1																															NEG"
Miramonte FR,Acton-Boxborough BW,"Miles Morton																																		David Raal																																		Krishna Naik","Aff																												Aff																												Neg","2-1																															AFF"
Potomac JS,Torrey Pines TK,"Miles Morton																																		David Raal																																		Krishna Naik","Aff																												Neg																												Aff","2-1																															AFF"
Flower Mound MK,Dougherty Valley SD,"Balaraju Perla																																		Alon Nozic																																		Samir Bajaj","Neg																												Neg																												Neg","3-0																															NEG"
Campbell Hall GT,Eden Prairie AP,"Tina Patel																																		Julian de Leon																																		Zain Shields","Aff																												Neg																												Neg","2-1																															NEG"
Canyon Crest BH,Dougherty Valley JP,"Gabe Rusk																																		Muhammad Munif																																		Matthew Morris","Neg																												Aff																												Neg","2-1																															NEG"
Canyon Crest CH,Dougherty Valley SaDe,"Priya Ramanan																																		Adhar Walia																																		Mariel Cruz","Neg																												Neg																												Neg","3-0																															NEG"
Mountain View IN,Hawken OT,"Phani Uppalapati																																		Tanya Edquist																																		Charles Schletzbaum","Neg																												Neg																												Aff","2-1																															NEG"
St Francis PM,Bonita Vista MM,"Gabe Rusk																																		Muhammad Munif																																		Matthew Morris","Aff																												Aff																												Aff","3-0																															AFF"
Fowler AK,duPont Manual HS  / Youth Performing Arts GW,"Balaraju Perla																																		Alon Nozic																																		Samir Bajaj","Aff																												Neg																												Neg","2-1																															NEG"
Dublin GV,Los Altos HM,"Apryl West																																		Hannah Du																																		Anna Mellissinos","Neg																												Aff																												Neg","2-1																															NEG"
