Aff,Neg,Judges,Votes,Result
A and M Consolidated JL,Bergen County Academies MS,"Devanshi Bhangle																																		Andrea Reier																																		Wesley Loofbourrow","Neg																												Aff																												Neg","2-1																															NEG"
Lexington FS,Torrey Pines TK,"Miles Morton																																		Shabbir Bohri																																		Naren Chittem","Aff																												Neg																												Aff","2-1																															AFF"
Dougherty Valley AP,Lexington DK,"John Soza																																		Fiorella Pulido																																		Nathaniel Yoon","Aff																												Aff																												Aff","3-0																															AFF"
Quarry Lane PS,Thomas S. Wootton DS,"Gabe Rusk																																		Sohum Tiwary																																		Charlie Synn","Aff																												Neg																												Aff","2-1																															AFF"
Campbell Hall GP,El Camino Real Charter DL,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT"
AMS SS,Glen Rock OS,"Shreya Yadav																																		Khegan Meyers																																		Sim Guerrero","Neg																												Neg																												Neg","3-0																															NEG"
Quarry Lane NG,,,,
Montgomery Blair WC,,,,
Fullerton Union MJ,,,,
Winston Churchill HM,,,,
Mission San Jose KK,,,,
Legacy Prep KL,,,,
Elkins BN,,,,
Plano West MZ,,,,
Burbank CF,,,,
Fowler KS,,,,
