Aff,Neg,Judges,Votes,Result
Leande MB,Strake SK,"Kent Nguyen																																		Glenda Ferguson																																		Gerardo Gonzalez Martinez","Aff																												Aff																												Neg","2-1																															AFF"
Dulles YD,BonVis SG,"Chantelle Mukabi																																		Glenda Ferguson																																		Danae Barkocy","Neg																												Neg																												Aff","2-1																															NEG"
Coppel MP,Strake Jesuit  GH,"Gabriel De Tuya																																		Les Phillips																																		Gerardo Gonzalez Martinez","Neg																												Neg																												Neg","3-0																															NEG"
Fowler AS,,,,
Dulles MB,,,,
StJoh LF,,,,
Strake Jesuit  VK,,,,
Dulles ZZ,,,,
SevLak CH,,,,
StJoh LJ,,,,
SevLak KM,,,,
SevLak BR,,,,
BonVis GN,,,,
IndHam MT,,,,
Coppel SN,,,,
Strake CD,,,,
